TOTAL_RESPONSE_TIME,CREATE_BUFFER,WRITE_BUFFER,CREATE_KERNEL_ARGS,CREATE_KERNEL,LAUNCH_KERNEL,READ_BUFFER,KERNEL_EXECUTION_TIME
0.003417,0.000003,0.000718,0.000001,0.000044,0.002045,0.000582,0.001822
0.003416,0.000005,0.000715,0.000002,0.000055,0.002044,0.000576,0.001824
0.003361,0.000004,0.000707,0.000001,0.000049,0.002031,0.000548,0.001819
0.003441,0.000004,0.000732,0.000001,0.000047,0.002024,0.000614,0.001814
0.003345,0.000004,0.000697,0.000001,0.000047,0.002036,0.000541,0.001803
0.003328,0.000004,0.000689,0.000002,0.000047,0.002034,0.000537,0.001826
0.003338,0.000003,0.000700,0.000001,0.000043,0.002021,0.000551,0.001813
0.003357,0.000004,0.000701,0.000001,0.000047,0.002026,0.000558,0.001817
0.003336,0.000004,0.000709,0.000002,0.000047,0.002024,0.000535,0.001811
0.003313,0.000003,0.000708,0.000001,0.000042,0.002017,0.000529,0.001813
0.003322,0.000003,0.000698,0.000001,0.000036,0.002045,0.000528,0.001821
0.003324,0.000003,0.000680,0.000001,0.000030,0.002016,0.000583,0.001827
0.003351,0.000003,0.000760,0.000001,0.000029,0.002019,0.000530,0.001828
0.003280,0.000002,0.000676,0.000001,0.000027,0.002021,0.000544,0.001829
0.003290,0.000003,0.000687,0.000001,0.000028,0.002011,0.000551,0.001822
0.003270,0.000002,0.000702,0.000001,0.000026,0.002012,0.000515,0.001813
0.003335,0.000003,0.000681,0.000001,0.000029,0.002022,0.000578,0.001824
0.003385,0.000005,0.000700,0.000002,0.000045,0.002038,0.000576,0.001807
0.003373,0.000004,0.000700,0.000002,0.000046,0.002044,0.000558,0.001831
0.003458,0.000004,0.000760,0.000002,0.000050,0.002050,0.000573,0.001830
0.003489,0.000004,0.000739,0.000001,0.000047,0.002062,0.000614,0.001825
0.003472,0.000004,0.000736,0.000001,0.000050,0.002076,0.000583,0.001833
0.003416,0.000004,0.000750,0.000001,0.000050,0.002057,0.000538,0.001818
0.003292,0.000003,0.000684,0.000001,0.000033,0.002017,0.000542,0.001804
0.003294,0.000003,0.000683,0.000001,0.000031,0.002033,0.000532,0.001826
0.003341,0.000003,0.000690,0.000001,0.000032,0.002027,0.000572,0.001822
0.003428,0.000004,0.000699,0.000001,0.000041,0.002064,0.000596,0.001832
0.003386,0.000005,0.000703,0.000002,0.000047,0.002037,0.000573,0.001813
0.003417,0.000004,0.000735,0.000001,0.000048,0.002037,0.000573,0.001820
0.003543,0.000004,0.000761,0.000002,0.000048,0.002091,0.000613,0.001841
0.003473,0.000005,0.000780,0.000002,0.000050,0.002078,0.000542,0.001834
0.003365,0.000004,0.000705,0.000002,0.000040,0.002056,0.000543,0.001826
0.003362,0.000004,0.000699,0.000002,0.000042,0.002064,0.000539,0.001826
0.003471,0.000003,0.000698,0.000001,0.000034,0.002075,0.000638,0.001832
0.003599,0.000005,0.000781,0.000002,0.000049,0.002085,0.000652,0.001843
0.003418,0.000005,0.000710,0.000002,0.000053,0.002059,0.000570,0.001818
0.003448,0.000004,0.000754,0.000002,0.000051,0.002045,0.000570,0.001820
